Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
21 χρονια με τον Καρολο Κουν,"Μορτζος, Γιαννης",16.20,21.30,https://www.protoporia.gr/mortzos-giannhs-21-xronia-me-ton-karolo-koyn-metaxeirismeno-2229608198058.html
21.12,"Thomason, Dustin",13.50,17.00,https://www.protoporia.gr/thomason-dustin-21-12-metaxeirismeno-2229603645014.html
23 ωρες για να σωθει το Παρισι,"Madelin, Philippe",8.50,20.00,https://www.protoporia.gr/madelin-philippe-23-wres-gia-na-sw8ei-to-parisi-metaxeirismeno-2229603977269.html
24,"Γορανιτης, Γιαννης",4.76,11.90,https://www.protoporia.gr/goraniths-giannhs-24-metaxeirismeno-2229601675686.html
24 Hour comics day hellas 2009,,3.50,7.50,https://www.protoporia.gr/-24-hour-comics-day-hellas-2009-metaxeirismeno-2229609862750.html
24 Hour comics day hellas 2010,,5.00,14.50,https://www.protoporia.gr/-24-hour-comics-day-hellas-2010-metaxeirismeno-2229609862781.html
24 Δευτερολεπτα,"Κωνστανταρας, Δημητρης",11.90,19.17,https://www.protoporia.gr/kwnstantaras-dhmhtrhs-24-deyterolepta-metaxeirismeno-2229600344101.html
24 στιγμες ακραιου παθους,"Πολιτης, Γιωργος Σ.",10.60,21.20,https://www.protoporia.gr/poliths-giwrgos-s-24-stigmes-akraioy-pa8oys-metaxeirismeno-2229604851889.html
25 6 ποιηματα,"Μπωντλερ, Σαρλ",4.20,9.54,https://www.protoporia.gr/berlain-pwl-25-6-poihmata-metaxeirismeno-2229603030735.html
25 αποδρασεις στην Ελλαδα,"Παπαδογιαννη, Ολγα",6.90,25.48,https://www.protoporia.gr/mhtsakhs-kwnstantinos-25-apodraseis-sthn-ellada-metaxeirismeno-2229609155784.html
25 χρονια Πελοποννησιακο Λαογραφικο Ιδρυμα,"Κανελλοπουλος, Κανελλος",55.00,59.81,https://www.protoporia.gr/papantwnioy-iwanna-25-xronia-peloponnhsiako-laografiko-idryma-metaxeirismeno-2229608639834.html
27 ονειρα,"Szittya, Emil",9.03,12.90,https://www.protoporia.gr/szittya-emil-27-oneira-metaxeirismeno-2229605054913.html
29 Λεξεις αργοτερα,"Καμπαση-Σιταρα, Μαντυ",6.75,13.50,https://www.protoporia.gr/kampash-sitara-manty-29-le3eis-argotera-metaxeirismeno-2229605470546.html
