Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Πικρό γάλα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Σακελλαρόπουλος, Μένιος",8.00,18.80,https://www.protoporia.gr/sakellaropoulos-menios-pikro-gala-metaxeirismeno-513499.html
Η βαρβαρότητα της άγνοιας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Spire, Antoine",9.00,10.00,https://www.protoporia.gr/spire-antoine-i-varvarotita-tis-agnoias-metaxeirismeno-446285.html
Μπέρεν και Λούθιεν ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Τόλκιν, Τζ. Ρ. Ρ.",7.45,14.90,https://www.protoporia.gr/tolkin-tz.-r.-r.-mperen-kai-louthien-metaxeirismeno-492755.html
Ατίμωση ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κούτσι, Τζ. Μ.",11.90,17.00,https://www.protoporia.gr/koutsi-tz.-m.-atimosi-metaxeirismeno-357792.html
Κλασικά παραμύθια Τόμος Β ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μπουκάι, Χόρχε",9.01,18.02,https://www.protoporia.gr/mpoukai-xorxe-klasika-paramuthia-tomos-v-metaxeirismeno-542882.html
Το άρωμα του ονείρου ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ρόμπινς, Τομ",6.93,17.32,https://www.protoporia.gr/rompins-tom-to-aroma-tou-oneirou-metaxeirismeno-348366.html
Η αγαπητικιά ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Θεοδωρίδου, Σόφη",9.95,19.90,https://www.protoporia.gr/theodoridou-sofi-i-agapitikia-metaxeirismeno-477373.html
Ιστορίες των Κρονόπιο και των Φάμα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κορτάσαρ, Χούλιο",5.50,8.00,https://www.protoporia.gr/kortasar-xoulio-istories-ton-kronopio-kai-ton-fama-metaxeirismeno-419838.html
Δέκα (πιθανοί) λόγοι για τη μελαγχολία της σκέψης ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Steiner, George",8.10,9.00,https://www.protoporia.gr/steiner-george-deka-pithanoi-logoi-gia-ti-melagxolia-tis-skepsis-metaxeirismeno-418844.html
ας πούμε πως είμαι εγώ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ράιμο, Βερόνικα",12.60,18.00,https://www.protoporia.gr/raimo-veronika-as-poume-pos-eimai-ego-metaxeirismeno-2226185598332.html
Ανεμώλια ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ζουργός, Ισίδωρος",7.50,19.90,https://www.protoporia.gr/zourgos-isidoros-anemolia-metaxeirismeno-351019.html
Ταξίδι στη Βενετία ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μαντά, Λένα",8.00,14.90,https://www.protoporia.gr/manta-lena-taksidi-sti-venetia-metaxeirismeno-500741.html
Το μουσείο της αθωότητας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Παμούκ, Ορχάν",18.00,26.00,https://www.protoporia.gr/pamouk-orxan-to-mouseio-tis-athootitas-metaxeirismeno-357600.html
Μακρύ πέταλο από θάλασσα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Αλιέντε, Ιζαμπέλ",8.85,17.70,https://www.protoporia.gr/aliente-izampel-makru-petalo-apo-thalassa-metaxeirismeno-531504.html
Ένας άνθρωπος που κοιμάται ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Περέκ, Ζωρζ",6.50,13.00,https://www.protoporia.gr/perek-zorz-enas-anthropos-pou-koimatai-metaxeirismeno-542730.html
Εμείς και το παιδί μας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ματσανιώτης, Νικόλαος",22.50,,https://www.protoporia.gr/matsaniotis-nikolaos-emeis-kai-to-paidi-mas-metaxeirismeno-453856.html
Αυτό είναι ευτυχία ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ουίλλιαμς, Νάιαλ",11.00,22.00,https://www.protoporia.gr/ouilliams-naial-auto-einai-eutuxia-metaxeirismeno-567008.html
Ο αλχημιστής ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κοέλο, Πάουλο",4.00,13.50,https://www.protoporia.gr/koelo-paoulo-o-alximistis-metaxeirismeno-358442.html
Αιματοβαμμένος Μεσημβρινός ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"ΜακΚάρθυ, Κόρμακ",17.50,25.00,https://www.protoporia.gr/makkarthu-kormak-aimatovammenos-mesimvrinos-metaxeirismeno-2229600125274.html
Δίαιτα Βασικής Ινσουλίνης The Dr. Dellis Diet ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Δελλής, Δημήτρης Dr.",5.96,14.90,https://www.protoporia.gr/dellis-dimitris-dr.-diaita-vasikis-insoulinis-the-dr.-dellis-diet-metaxeirismeno-505818.html
Τον καιρό του Θεού ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μπάρι, Σεμπάστιαν",13.16,18.80,https://www.protoporia.gr/mpari-sempastian-ton-kairo-tou-theou-metaxeirismeno-2229605726339.html
Παιχνίδι του στέμματος- Το τραγούδι της φωτιάς και του πάγου βιβλίο Ι ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Martin, George",2.40,18.90,https://www.protoporia.gr/martin-george-paixnidi-tou-stemmatos-to-tragoudi-tis-fotias-kai-tou-pagou-vivlio-i-metaxeirismeno-352956.html
Η γυναίκα που πέθανε δύο φορές ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ελευθερίου, Μάνος",4.70,18.35,https://www.protoporia.gr/eleutheriou-manos-i-gunaika-pou-pethane-duo-fores-metaxeirismeno-361271.html
Η μαριχουάνα της μαμάς είναι πιό γλυκιά ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φο, Ντάριο",5.10,10.20,https://www.protoporia.gr/fo-ntario-i-marixouana-tis-mamas-einai-pio-glukia-metaxeirismeno-359059.html
1821: Η δημιουργία ενός έθνους-κράτους ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Βερέμης, Θάνος Μ.",7.00,18.80,https://www.protoporia.gr/veremis-thanos-m.-1821-i-dimiourgia-enos-ethnous-kratous-metaxeirismeno-489737.html
Τα δάκρυα δεν είναι για το ουίσκι ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Crombie, Deborah",2.90,17.04,https://www.protoporia.gr/crombie-deborah-ta-dakrua-den-einai-gia-to-ouiski-metaxeirismeno-407360.html
Το νησί ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Hislop, Victoria",4.90,19.36,https://www.protoporia.gr/hislop-victoria-to-nisi-metaxeirismeno-351018.html
Άπαντα τα πεζά ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Χειμωνάς, Γιώργος",10.45,20.90,https://www.protoporia.gr/xeimonas-giorgos-apanta-ta-peza-metaxeirismeno-499171.html
